Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
matteo-trentin,2017.0,1272.0,83.0,13788.0,7.0,11.0
matteo-trentin,2016.0,643.0,70.0,12057.0,3.0,4.0
matteo-trentin,2015.0,603.0,78.0,13016.0,4.0,9.0
matteo-trentin,2014.0,429.0,80.0,13105.0,2.0,4.0
matteo-trentin,2013.0,285.0,80.0,12500.0,1.0,2.0
matteo-trentin,2012.0,136.0,64.0,10224.0,0.0,1.0
matteo-trentin,2011.0,85.0,34.0,5109.0,2.0,4.0
matteo-trentin,2010.0,29.0,21.0,3016.0,1.0,4.0
matteo-trentin,2009.0,0.0,13.0,2063.0,0.0,0.0
matteo-trentin,2007.0,76.0,2.0,214.0,1.0,1.0
matteo-trentin,2006.0,24.0,4.0,417.0,0.0,0.0
mateusz-taciak,2019.0,19.0,45.0,5879.0,0.0,1.0
mateusz-taciak,2018.0,175.0,59.0,7805.0,3.0,5.0
mateusz-taciak,2017.0,41.0,49.0,7528.0,0.0,0.0
mateusz-taciak,2016.0,70.0,55.0,8123.0,3.0,5.0
mateusz-taciak,2015.0,42.0,57.0,8264.0,1.0,4.0
mateusz-taciak,2014.0,132.0,73.0,10482.0,1.0,3.0
mateusz-taciak,2013.0,78.0,60.0,8517.0,0.0,3.0
mateusz-taciak,2012.0,85.0,42.0,6616.0,1.0,6.0
mateusz-taciak,2011.0,148.0,48.0,7117.0,1.0,3.0
mateusz-taciak,2010.0,29.0,38.0,5737.0,0.0,2.0
mateusz-taciak,2009.0,101.0,38.0,6302.0,2.0,5.0
mateusz-taciak,2008.0,34.0,25.0,3510.0,0.0,3.0
mateusz-taciak,2007.0,25.0,15.0,2112.0,1.0,3.0
mateusz-taciak,2006.0,0.0,7.0,745.0,0.0,1.0
mateusz-taciak,2005.0,0.0,16.0,2169.0,0.0,1.0
mateusz-taciak,2004.0,10.0,3.0,382.0,0.0,1.0
mateusz-taciak,2003.0,0.0,1.0,30.0,0.0,0.0
mateusz-taciak,2002.0,4.0,1.0,23.0,0.0,0.0
alberto-loddo,2010.0,132.0,47.0,6587.0,3.0,5.0
alberto-loddo,2009.0,34.0,23.0,3752.0,2.0,4.0
alberto-loddo,2008.0,152.0,33.0,4804.0,2.0,6.0
alberto-loddo,2007.0,222.0,35.0,4855.0,8.0,10.0
alberto-loddo,2006.0,141.0,56.0,7485.0,6.0,12.0
alberto-loddo,2004.0,73.0,46.0,7457.0,0.0,0.0
alberto-loddo,2003.0,192.0,15.0,2222.0,3.0,6.0
alberto-loddo,2002.0,28.0,27.0,3782.0,1.0,1.0
alberto-loddo,2001.0,45.0,5.0,778.0,3.0,4.0
alberto-loddo,2000.0,10.0,2.0,358.0,0.0,1.0
rein-taaramae,2022.0,69.0,22.0,3380.0,0.0,0.0
rein-taaramae,2021.0,258.0,86.0,13052.0,2.0,5.0
rein-taaramae,2020.0,0.0,30.0,4234.0,0.0,0.0
rein-taaramae,2019.0,282.0,75.0,11293.0,1.0,6.0
rein-taaramae,2018.0,327.0,63.0,9877.0,0.0,6.0
rein-taaramae,2017.0,186.0,93.0,13928.0,0.0,1.0
